,Survived,Pclass,Age
0,0,3,22.0
1,1,1,38.0
2,1,3,26.0
3,1,1,35.0
4,0,3,35.0
5,0,3,27.0
6,0,1,54.0
7,0,3,2.0
8,1,3,27.0
9,1,2,14.0
10,1,3,4.0
11,1,1,58.0
12,0,3,20.0
13,0,3,39.0
14,0,3,14.0
15,1,2,55.0
16,0,3,2.0
17,1,2,23.0
18,0,3,31.0
19,1,3,22.0
20,0,2,35.0
21,1,2,34.0
22,1,3,15.0
23,1,1,28.0
24,0,3,8.0
25,1,3,38.0
26,0,3,26.0
27,0,1,19.0
28,1,3,24.0
29,0,3,23.0
30,0,1,40.0
31,1,1,48.0
32,1,3,18.0
33,0,2,66.0
34,0,1,28.0
35,0,1,42.0
36,1,3,18.0
37,0,3,21.0
38,0,3,18.0
39,1,3,14.0
40,0,3,40.0
41,0,2,27.0
42,1,2,3.0
43,1,3,19.0
44,0,3,30.0
45,0,3,20.0
46,1,3,27.0
47,0,3,16.0
48,0,3,18.0
49,0,3,7.0
50,0,3,21.0
51,1,1,49.0
52,1,2,29.0
53,0,1,65.0
54,1,1,46.0
55,1,2,21.0
56,0,3,28.5
57,1,2,5.0
58,0,3,11.0
59,0,3,22.0
60,1,1,38.0
61,0,1,45.0
62,0,3,4.0
63,0,1,64.0
64,1,3,7.0
65,1,2,29.0
66,0,3,19.0
67,1,3,17.0
68,0,3,26.0
69,0,2,32.0
70,0,3,16.0
71,0,2,21.0
72,0,3,26.0
73,1,3,32.0
74,0,3,25.0
75,0,3,23.0
76,0,3,28.0
77,1,2,0.83
78,1,3,30.0
79,0,3,22.0
80,1,3,29.0
81,1,3,31.0
82,0,1,28.0
83,1,2,17.0
84,1,3,33.0
85,0,3,16.0
86,0,3,20.0
87,1,1,23.0
88,0,3,24.0
89,0,3,29.0
90,0,3,20.0
91,0,1,46.0
92,0,3,26.0
93,0,3,59.0
94,0,3,22.0
95,0,1,71.0
96,1,1,23.0
97,1,2,34.0
98,0,2,34.0
99,0,3,28.0
100,0,3,29.0
101,0,1,21.0
102,0,3,33.0
103,0,3,37.0
104,0,3,28.0
105,1,3,21.0
106,1,3,29.0
107,0,3,38.0
108,1,3,28.0
109,0,1,47.0
110,0,3,14.5
111,0,3,22.0
112,0,3,20.0
113,0,3,17.0
114,0,3,21.0
115,0,3,70.5
116,0,2,29.0
117,0,1,24.0
118,0,3,2.0
119,0,2,21.0
120,0,3,19.0
121,0,2,32.5
122,1,2,32.5
123,0,1,54.0
124,1,3,12.0
125,0,3,19.0
126,1,3,24.0
127,1,3,2.0
128,0,3,45.0
129,0,3,33.0
130,0,3,20.0
131,0,3,47.0
132,1,2,29.0
133,0,2,25.0
134,0,2,23.0
135,1,1,19.0
136,0,1,37.0
137,0,3,16.0
138,0,1,24.0
139,0,3,40.0
140,1,3,22.0
141,1,3,24.0
142,0,3,19.0
143,0,2,18.0
144,0,2,19.0
145,1,3,27.0
146,0,3,9.0
147,0,2,36.5
148,0,2,42.0
149,0,2,51.0
150,1,1,22.0
151,0,3,55.5
152,0,3,40.5
153,0,3,27.0
154,0,1,51.0
155,1,3,16.0
156,0,3,30.0
157,0,3,37.0
158,0,3,5.0
159,0,3,44.0
160,1,2,40.0
161,0,3,26.0
162,0,3,17.0
163,0,3,1.0
164,1,3,9.0
165,1,1,48.0
166,0,3,45.0
167,0,1,60.0
168,0,3,28.0
169,0,1,61.0
170,0,3,4.0
171,1,3,1.0
172,0,3,21.0
173,0,1,56.0
174,0,3,18.0
175,0,3,5.0
176,0,1,50.0
177,0,2,30.0
178,0,3,36.0
179,0,3,8.0
180,0,2,39.0
181,0,3,9.0
182,1,2,1.0
183,1,3,4.0
184,0,1,39.0
185,1,3,26.0
186,1,1,45.0
187,0,3,40.0
188,0,3,36.0
189,1,2,32.0
190,0,2,19.0
191,1,3,19.0
192,1,2,3.0
193,1,1,44.0
194,1,1,58.0
195,0,3,28.0
196,0,3,42.0
197,1,3,21.0
198,0,2,24.0
199,0,3,28.0
200,0,3,17.0
201,0,3,34.0
202,0,3,45.5
203,1,3,18.0
204,0,3,2.0
205,0,3,32.0
206,1,3,26.0
207,1,3,16.0
208,1,1,40.0
209,0,3,24.0
210,1,2,35.0
211,0,3,22.0
212,0,2,30.0
213,0,3,22.0
214,1,1,31.0
215,1,3,27.0
216,0,2,42.0
217,1,1,32.0
218,0,2,30.0
219,1,3,16.0
220,0,2,27.0
221,0,3,51.0
222,0,3,22.0
223,1,1,38.0
224,0,3,22.0
225,1,2,19.0
226,0,3,20.5
227,0,2,18.0
228,0,3,12.0
229,1,1,35.0
230,0,3,29.0
231,0,2,59.0
232,1,3,5.0
233,0,2,24.0
234,0,3,21.0
235,0,2,44.0
236,1,2,8.0
237,0,2,19.0
238,0,2,33.0
239,0,3,19.0
240,1,3,18.0
241,0,2,29.0
242,0,3,22.0
243,0,3,30.0
244,0,1,44.0
245,0,3,25.0
246,1,2,24.0
247,1,1,37.0
248,0,2,54.0
249,0,3,18.0
250,0,3,29.0
251,0,1,62.0
252,0,3,30.0
253,0,3,41.0
254,1,3,29.0
255,1,1,38.0
256,1,1,30.0
257,1,1,35.0
258,1,2,50.0
259,1,3,3.0
260,0,1,52.0
261,0,1,40.0
262,0,3,21.0
263,0,2,36.0
264,0,3,16.0
265,1,3,25.0
266,1,1,58.0
267,1,1,35.0
268,0,1,28.0
269,1,3,25.0
270,1,2,41.0
271,0,1,37.0
272,1,3,33.0
273,1,1,63.0
274,0,3,45.0
275,0,2,21.0
276,0,3,7.0
277,1,3,35.0
278,0,3,65.0
279,0,3,28.0
280,0,3,16.0
281,1,3,19.0
282,0,1,57.0
283,0,3,33.0
284,1,3,30.0
285,0,3,22.0
286,1,2,42.0
287,1,3,22.0
288,1,1,26.0
289,1,1,19.0
290,0,2,36.0
291,0,3,24.0
292,0,3,24.0
293,0,1,30.0
294,0,3,23.5
295,0,1,2.0
296,1,1,47.0
297,1,1,50.0
298,1,3,20.0
299,1,3,24.0
300,0,3,19.0
301,1,2,46.0
302,0,3,28.0
303,1,1,0.92
304,1,1,42.0
305,1,1,17.0
306,0,2,30.0
307,1,1,30.0
308,1,1,24.0
309,1,1,18.0
310,0,2,26.0
311,0,3,28.0
312,0,2,43.0
313,1,3,26.0
314,1,2,24.0
315,0,2,54.0
316,1,1,31.0
317,1,1,40.0
318,0,3,22.0
319,0,3,27.0
320,1,2,30.0
321,1,2,22.0
322,0,3,20.0
323,1,1,36.0
324,0,3,61.0
325,1,2,36.0
326,1,3,31.0
327,1,1,16.0
328,1,3,28.0
329,0,1,45.5
330,0,1,38.0
331,0,3,16.0
332,1,1,42.0
333,0,3,30.0
334,0,1,29.0
335,1,1,41.0
336,1,3,45.0
337,0,1,45.0
338,1,2,2.0
339,1,1,24.0
340,0,2,28.0
341,0,2,25.0
342,0,2,36.0
343,1,2,24.0
344,1,2,40.0
345,1,3,34.0
346,1,3,3.0
347,0,3,42.0
348,0,3,23.0
349,0,1,43.0
350,0,3,15.0
351,0,3,25.0
352,0,3,23.0
353,0,3,28.0
354,1,1,22.0
355,0,2,38.0
356,1,3,22.0
357,1,3,23.0
358,0,3,40.0
359,0,2,29.0
360,0,3,45.0
361,0,3,35.0
362,0,3,27.0
363,0,3,30.0
364,1,1,60.0
365,1,3,35.0
366,1,3,22.0
367,1,1,24.0
368,1,1,25.0
369,0,3,18.0
370,0,3,19.0
371,0,1,22.0
372,0,3,3.0
373,1,1,25.0
374,1,3,22.0
375,0,1,27.0
376,0,3,20.0
377,0,3,19.0
378,1,1,42.0
379,1,3,1.0
380,0,3,32.0
381,1,1,35.0
382,0,3,27.0
383,0,2,18.0
384,0,3,1.0
385,1,2,36.0
386,0,3,19.0
387,1,2,17.0
388,1,1,36.0
389,1,3,21.0
390,0,3,28.0
391,1,1,23.0
392,1,3,24.0
393,0,3,22.0
394,0,3,31.0
395,0,2,46.0
396,0,2,23.0
397,1,2,28.0
398,1,3,39.0
399,0,3,26.0
400,0,3,21.0
401,0,3,28.0
402,0,3,20.0
403,0,2,34.0
404,0,3,51.0
405,1,2,3.0
406,0,3,21.0
407,0,3,3.0
408,0,3,42.0
409,0,3,27.0
410,1,1,33.0
411,0,2,22.0
412,1,3,44.0
413,0,3,32.0
